"Step","pious-paper-5 - val_loss","pious-paper-5 - val_loss__MIN","pious-paper-5 - val_loss__MAX","vocal-yogurt-1 - val_loss","vocal-yogurt-1 - val_loss__MIN","vocal-yogurt-1 - val_loss__MAX"
"4","0","0","0","0","0","0"
"9","0","0","0","0","0","0"
"14","0","0","0","0","0","0"
"19","0","0","0","0","0","0"
"24","0","0","0","0","0","0"
"29","0","0","0","0","0","0"
"34","0","0","0","0","0","0"
"39","0","0","0","0","0","0"
"44","0","0","0","0","0","0"
"49","0","0","0","0","0","0"
"54","0","0","0","0","0","0"
"59","0","0","0","0","0","0"
"64","0","0","0","0","0","0"
"69","0","0","0","0","0","0"
"74","0","0","0","0","0","0"
"79","0","0","0","0","0","0"
"84","0","0","0","0","0","0"
"89","0","0","0","0","0","0"
"94","0","0","0","0","0","0"
"99","0","0","0","0","0","0"
"104","0","0","0","0","0","0"
"109","0","0","0","0","0","0"
"114","0","0","0","0","0","0"
"119","0","0","0","0","0","0"
"124","0","0","0","0","0","0"
"129","0","0","0","0","0","0"
"134","0","0","0","0","0","0"
"139","0","0","0","0","0","0"
"144","0","0","0","0","0","0"
"149","0","0","0","0","0","0"
"154","0","0","0","0","0","0"
"159","0","0","0","0","0","0"
"164","0","0","0","0","0","0"
"169","0","0","0","0","0","0"
"174","0","0","0","0","0","0"
"179","0","0","0","0","0","0"
"184","0","0","0","0","0","0"
"189","0","0","0","0","0","0"
"194","0","0","0","0","0","0"
"199","0","0","0","0","0","0"
"204","0","0","0","0","0","0"
"209","0","0","0","0","0","0"
"214","0","0","0","0","0","0"
"219","0","0","0","0","0","0"
"224","0","0","0","0","0","0"
"229","0","0","0","0","0","0"
"234","0","0","0","0","0","0"
"239","0","0","0","0","0","0"
"244","0","0","0","0","0","0"
"249","0","0","0","0","0","0"
"254","0","0","0","0","0","0"
"259","0","0","0","0","0","0"
"264","0","0","0","0","0","0"
"269","0","0","0","0","0","0"
"274","0","0","0","0","0","0"
"279","0","0","0","0","0","0"
"284","0","0","0","0","0","0"
"289","0","0","0","0","0","0"
"294","0","0","0","0","0","0"
"299","0","0","0","0","0","0"
"304","0","0","0","0","0","0"
"309","0","0","0","0","0","0"
"314","0","0","0","0","0","0"
"319","0","0","0","0","0","0"
"324","0","0","0","0","0","0"
"329","0","0","0","0","0","0"
"334","0","0","0","0","0","0"
"339","0","0","0","0","0","0"
"344","0","0","0","0","0","0"
"349","0","0","0","0","0","0"
"354","0","0","0","0","0","0"
"359","0","0","0","0","0","0"
"364","0","0","0","0","0","0"
"369","0","0","0","0","0","0"
"374","0","0","0","0","0","0"
"379","0","0","0","0","0","0"
"384","0","0","0","0","0","0"
"389","0","0","0","0","0","0"
"394","0","0","0","0","0","0"
"399","0","0","0","0","0","0"
"404","0","0","0","0","0","0"
"409","0","0","0","0","0","0"
"414","0","0","0","0","0","0"
"419","0","0","0","0","0","0"
"424","0","0","0","0","0","0"
"429","0","0","0","0","0","0"
"434","0","0","0","0","0","0"
"439","0","0","0","0","0","0"
"444","0","0","0","0","0","0"
